session_id,user_id,word,word_date,attempts,result,time_to_complete_sec,device,session_hour,streak_day,played_next_day,newsletter_open_before_game,active_d30
ab38635a07ede4246661,697e9e150e91bb76,tempo,2026-02-08,1,win,449,android,20,2,False,False,False
67d40a22cba1a16fd2c5,d7f63dda905adaec,falha,2026-05-08,6,lose,232,ios,19,1,True,False,False
3635c5707f62ea022423,6220de621fef79b8,falha,2026-04-18,3,win,65,ios,7,2,False,False,False
27243d4c7b1669f71ba7,3aa2f6a86d7fe06c,prato,2025-12-22,6,lose,404,android,23,2,False,False,True
cd21162dd072f066c160,97af736a7f2aa637,ideia,2026-05-28,1,win,222,android,6,2,False,True,False
d4063251e29a7fa33e79,06db6e4f2c1b23f5,nuvem,2026-05-25,6,lose,158,ios,6,1,False,True,False
3d35b151eead0030fbea,3286a93673d5893b,dança,2026-03-01,3,win,298,android,19,1,False,False,False
bb3b9e4ce4a8e58d8069,f6e8d238ce6ea3d5,prato,2025-12-29,3,win,334,android,18,1,False,False,False
0e90edb72b9e656f930f,ef831a8aeb92d812,barco,2026-01-19,1,win,84,ios,18,1,False,False,False
3b8b988d281cc74651b1,53b7a4405edc3814,plano,2026-01-25,1,win,313,android,16,2,False,False,False
06ef2870c5e9e1415519,b2097590b6ed002a,corvo,2026-01-14,1,win,250,ios,23,1,False,False,False
96429356293c5d37dbe0,f9486dabacfd48d9,troco,2026-02-09,2,win,103,ios,22,2,False,False,False
cf786233f2623e336123,fd942d86698392fe,genro,2026-01-12,3,win,233,android,20,1,False,False,False
a4bbf841c1dd1fb00040,d66aef24113ca92b,prato,2026-01-21,6,lose,304,android,22,5,False,False,False
f7500059c34402ed5ac6,79214fed491f4470,nuvem,2026-04-10,1,win,109,ios,16,2,False,False,True
b43bde6721e401b3c248,e380ec1647a580fe,metal,2026-01-23,3,win,232,android,21,1,False,False,True
2784a90fb0297d8541b1,2ab400247f41186a,metal,2025-12-09,6,lose,210,ios,22,1,False,False,False
971a55af63bd4da4b31a,9147cd6410566a8a,vinho,2026-04-01,3,win,294,android,20,2,True,False,True
db030133604bf48edd14,1702d9d57c7dadb8,nuvem,2026-02-13,3,win,467,android,6,1,True,True,True
7582d3983d53e7747519,2682c8dcb7d7cc3f,corvo,2026-05-29,2,win,434,ios,19,1,False,False,True
b67543f0d8749a20bda3,515872cd13042b6f,herói,2026-03-06,3,win,234,android,15,1,False,False,False
fb45f5ee8715b0b65454,0a8fb62d2c4a4cb2,tempo,2026-01-17,6,lose,176,android,13,1,True,False,True
28749b04e19a30073194,51c9b37e285a80a2,preto,2026-05-11,1,win,227,android,7,1,False,True,False
d4698051636e3d85e15a,1c6051e87f325c6d,tempo,2025-12-03,6,lose,327,ios,23,1,False,False,False
17a015c3fb644d83ef1e,baa8f1c70609f369,falha,2025-12-24,6,lose,71,ios,21,2,False,False,True
21e3081a6740b26615b6,2c41aac03a04e595,vento,2025-12-31,2,win,248,android,17,1,False,False,False
8d52abc93325c463ecdd,0f40da464d1f48fd,corvo,2026-01-09,2,win,227,android,8,2,True,True,True
ec42b4d5645245e3de9a,6fa20468a8749cbf,morro,2025-12-10,2,win,213,android,22,1,False,False,False
5c6a05b2bf343056b75c,d8457303347d5b14,corvo,2026-04-09,2,win,297,android,8,1,False,True,True
6f561b41067326115648,546f9868055090a2,herói,2026-04-06,6,lose,68,ios,18,1,True,False,True
90f4201d34224ac8f56c,514a6ff94b89ddd5,fraco,2026-02-17,1,win,243,ios,6,1,False,True,False
ed68e3a0e97fed4b3061,6db98848cb0b78fc,nuvem,2026-05-25,6,lose,104,ios,22,2,False,False,False
416fd40fb63fff09622b,342ba2c0d3b123e5,barco,2026-04-16,3,win,178,android,18,1,False,False,True
